,year,duration,avg_vote,votes,metascore,reviews_from_users,reviews_from_critics,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
40903,2001,88,6.6,146,49.0,4.0,12.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40905,2001,91,5.2,773,54.0,17.0,25.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40908,2001,88,6.2,4544,56.0,54.0,62.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
40911,2001,115,7.3,13255,82.0,63.0,83.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40916,2001,87,6.8,16911,50.0,131.0,109.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40917,2001,92,7.3,1376,77.0,5.0,13.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40919,2001,95,6.5,4466,46.0,94.0,16.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
40923,2001,132,7.7,141155,28.0,462.0,117.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40925,2001,120,6.7,279,81.0,6.0,10.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40931,2001,99,6.5,23602,61.0,166.0,85.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40936,2001,120,7.7,89959,60.0,176.0,115.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
40939,2001,89,5.7,95477,32.0,404.0,96.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40940,2001,106,6.4,4160,50.0,44.0,51.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40941,2001,99,4.8,2439,19.0,39.0,20.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40951,2001,103,6.9,733,49.0,3.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40952,2001,81,6.8,1028,39.0,7.0,21.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
40955,2001,89,5.6,24178,29.0,193.0,102.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
40960,2001,117,6.1,611,45.0,17.0,15.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40961,2001,111,5.9,1255,48.0,54.0,18.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
40964,2001,98,6.8,23225,56.0,111.0,101.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40965,2001,100,6.1,327,57.0,5.0,16.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40973,2001,80,4.0,377,32.0,17.0,11.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40977,2001,113,5.5,346,32.0,7.0,12.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
40979,2001,87,5.9,984,32.0,27.0,14.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40986,2001,87,6.5,177,44.0,3.0,7.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40989,2001,112,6.4,107375,52.0,523.0,106.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40991,2001,86,7.1,2084,60.0,32.0,27.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
40994,2001,94,5.4,8619,24.0,52.0,50.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40997,2001,115,7.9,41988,61.0,134.0,69.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40998,2001,91,5.0,3921,63.0,156.0,59.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
41000,2001,86,6.5,6288,55.0,136.0,72.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41003,2001,94,6.9,1470,47.0,31.0,15.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
41005,2001,96,6.3,180089,59.0,588.0,154.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
41006,2001,86,7.3,18519,71.0,111.0,57.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41009,2001,86,4.7,12398,20.0,108.0,61.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41010,2001,106,7.3,8470,69.0,42.0,35.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
41012,2001,93,5.8,224,58.0,14.0,13.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
41015,2001,101,6.5,10923,78.0,181.0,95.0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
41016,2001,113,7.2,4355,61.0,46.0,61.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41020,2001,150,7.7,5939,72.0,27.0,22.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
41022,2001,113,6.4,4013,38.0,84.0,27.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41024,2001,99,6.6,1309,75.0,26.0,30.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
41042,2001,108,7.0,10154,58.0,101.0,54.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
41046,2001,98,5.5,9857,42.0,87.0,52.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41047,2001,95,5.4,17302,15.0,127.0,75.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41049,2001,90,6.5,338,63.0,23.0,11.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41051,2001,98,7.2,36152,75.0,165.0,98.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41055,2001,92,2.8,2091,30.0,15.0,12.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
41056,2001,120,7.4,173235,49.0,555.0,132.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
41058,2001,131,7.4,36911,86.0,515.0,179.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41061,2001,111,6.3,125180,52.0,328.0,117.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
41066,2001,100,7.1,94874,48.0,354.0,106.0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
41070,2001,98,5.8,298,45.0,19.0,5.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41076,2001,104,4.9,13927,27.0,295.0,110.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
41077,2001,115,6.2,7966,56.0,122.0,63.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
41078,2001,113,8.0,728383,88.0,2286.0,374.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
41079,2001,114,5.3,497,43.0,18.0,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41080,2001,112,5.8,1489,58.0,30.0,45.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
41089,2001,106,6.7,2900,53.0,60.0,37.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
41093,2001,131,7.0,69830,43.0,307.0,103.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
41094,2001,87,5.2,1669,36.0,40.0,16.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
41096,2001,89,6.4,16552,22.0,93.0,36.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
41101,2001,109,7.2,7821,72.0,88.0,60.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
41102,2001,90,7.1,1024,74.0,11.0,8.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
41106,2001,85,4.2,3955,34.0,78.0,45.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
